,coef0,C,logGamma,kernel,degree,value
5,-6.46484375,8.33984375,-0.64453125,C_sigmoid,,0.5817533581083358
7,,6.97265625,,C_linear,,0.5548426703070752
6,,9.74609375,-0.80078125,C_rbf,,0.5517160902686487
1,,2.24609375,-8.30078125,C_rbf,,0.5
2,1.03515625,-9.16015625,6.85546875,C_sigmoid,,0.5
3,-2.83203125,5.13671875,-8.18359375,C_poly,7.6884765625,0.5
4,4.66796875,-7.36328125,-5.68359375,C_poly,2.0634765625,0.5
8,,-0.99609375,,C_linear,,0.5
9,,-6.97265625,-7.20703125,C_rbf,,0.5
0,,-0.52734375,,C_linear,,0.496551724137931
